issue,category,tool,question,participant,response
case 1-1,1,revive,convincing,1,1
case 1-1,1,revive,convincing,2,3
case 1-1,1,revive,convincing,3,2
case 1-1,1,revive,guiding,1,1
case 1-1,1,revive,guiding,2,4
case 1-1,1,revive,guiding,3,3
case 1-1,1,gosec,convincing,1,5
case 1-1,1,gosec,convincing,2,4
case 1-1,1,gosec,convincing,3,4
case 1-1,1,gosec,guiding,1,2
case 1-1,1,gosec,guiding,2,3
case 1-1,1,gosec,guiding,3,2
case 1-2,1,revive,convincing,2,5
case 1-2,1,revive,convincing,3,2
case 1-2,1,revive,convincing,5,4
case 1-2,1,revive,guiding,2,3
case 1-2,1,revive,guiding,3,2
case 1-2,1,revive,guiding,5,1
case 1-2,1,gosec,convincing,2,4
case 1-2,1,gosec,convincing,3,4
case 1-2,1,gosec,convincing,5,5
case 1-2,1,gosec,guiding,2,3
case 1-2,1,gosec,guiding,3,4
case 1-2,1,gosec,guiding,5,2
case 1-3,1,revive,convincing,1,1
case 1-3,1,revive,convincing,2,4
case 1-3,1,revive,convincing,4,2
case 1-3,1,revive,guiding,1,1
case 1-3,1,revive,guiding,2,3
case 1-3,1,revive,guiding,4,2
case 1-4,1,revive,convincing,1,1
case 1-4,1,revive,convincing,3,2
case 1-4,1,revive,convincing,4,3
case 1-4,1,revive,guiding,1,1
case 1-4,1,revive,guiding,3,2
case 1-4,1,revive,guiding,4,3
case 1-4,1,gosec,convincing,1,5
case 1-4,1,gosec,convincing,3,4
case 1-4,1,gosec,convincing,4,5
case 1-4,1,gosec,guiding,1,2
case 1-4,1,gosec,guiding,3,3
case 1-4,1,gosec,guiding,4,5
case 1-5,1,gosec,convincing,2,3
case 1-5,1,gosec,convincing,3,4
case 1-5,1,gosec,convincing,4,4
case 1-5,1,gosec,guiding,2,3
case 1-5,1,gosec,guiding,3,3
case 1-5,1,gosec,guiding,4,4
case 1-6,1,gosec,convincing,1,5
case 1-6,1,gosec,convincing,4,4
case 1-6,1,gosec,convincing,5,4
case 1-6,1,gosec,guiding,1,2
case 1-6,1,gosec,guiding,4,4
case 1-6,1,gosec,guiding,5,2
case 2-1,2,staticcheck,convincing,1,3
case 2-1,2,staticcheck,convincing,2,5
case 2-1,2,staticcheck,convincing,3,4
case 2-1,2,staticcheck,guiding,1,1
case 2-1,2,staticcheck,guiding,2,3
case 2-1,2,staticcheck,guiding,3,4
case 2-1,2,gosec,convincing,1,5
case 2-1,2,gosec,convincing,2,5
case 2-1,2,gosec,convincing,3,3
case 2-1,2,gosec,guiding,1,1
case 2-1,2,gosec,guiding,2,4
case 2-1,2,gosec,guiding,3,3
case 2-1,2,errcheck,convincing,1,2
case 2-1,2,errcheck,convincing,2,5
case 2-1,2,errcheck,convincing,3,2
case 2-1,2,errcheck,guiding,1,1
case 2-1,2,errcheck,guiding,2,3
case 2-1,2,errcheck,guiding,3,2
case 2-2,2,staticcheck,convincing,3,3
case 2-2,2,staticcheck,convincing,4,2
case 2-2,2,staticcheck,convincing,5,5
case 2-2,2,staticcheck,guiding,3,2
case 2-2,2,staticcheck,guiding,4,4
case 2-2,2,staticcheck,guiding,5,1
case 2-3,2,staticcheck,convincing,2,5
case 2-3,2,staticcheck,convincing,3,4
case 2-3,2,staticcheck,convincing,5,5
case 2-3,2,staticcheck,guiding,2,4
case 2-3,2,staticcheck,guiding,3,4
case 2-3,2,staticcheck,guiding,5,3
case 2-3,2,revive,convincing,2,4
case 2-3,2,revive,convincing,3,2
case 2-3,2,revive,convincing,5,5
case 2-3,2,revive,guiding,2,5
case 2-3,2,revive,guiding,3,2
case 2-3,2,revive,guiding,5,5
case 3-1,3,revive,convincing,1,1
case 3-1,3,revive,convincing,3,3
case 3-1,3,revive,convincing,4,4
case 3-1,3,revive,guiding,1,1
case 3-1,3,revive,guiding,3,2
case 3-1,3,revive,guiding,4,2
case 3-2,3,revive,convincing,1,1
case 3-2,3,revive,convincing,2,5
case 3-2,3,revive,convincing,4,5
case 3-2,3,revive,guiding,1,1
case 3-2,3,revive,guiding,2,5
case 3-2,3,revive,guiding,4,1
case 3-3,3,revive,convincing,1,1
case 3-3,3,revive,convincing,2,5
case 3-3,3,revive,convincing,5,4
case 3-3,3,revive,guiding,1,1
case 3-3,3,revive,guiding,2,4
case 3-3,3,revive,guiding,5,1
case 3-4,3,revive,convincing,1,1
case 3-4,3,revive,convincing,3,2
case 3-4,3,revive,convincing,5,4
case 3-4,3,revive,guiding,1,1
case 3-4,3,revive,guiding,3,2
case 3-4,3,revive,guiding,5,3
case 4-1,4,staticcheck,convincing,1,3
case 4-1,4,staticcheck,convincing,2,5
case 4-1,4,staticcheck,convincing,5,5
case 4-1,4,staticcheck,guiding,1,1
case 4-1,4,staticcheck,guiding,2,3
case 4-1,4,staticcheck,guiding,5,2
case 4-2,4,staticcheck,convincing,3,4
case 4-2,4,staticcheck,convincing,4,5
case 4-2,4,staticcheck,convincing,5,4
case 4-2,4,staticcheck,guiding,3,3
case 4-2,4,staticcheck,guiding,4,2
case 4-2,4,staticcheck,guiding,5,1
case 5-1,5,revive,convincing,1,5
case 5-1,5,revive,convincing,4,5
case 5-1,5,revive,convincing,5,5
case 5-1,5,revive,guiding,1,5
case 5-1,5,revive,guiding,4,3
case 5-1,5,revive,guiding,5,2
case 5-2,5,revive,convincing,2,4
case 5-2,5,revive,convincing,4,5
case 5-2,5,revive,convincing,5,4
case 5-2,5,revive,guiding,2,3
case 5-2,5,revive,guiding,4,3
case 5-2,5,revive,guiding,5,1
